,marker_id,x,y,point,coverage_ratio,mean,variance,inner_boundary,outer_boundary,parent
0,marker1,-30.0,0.0,[-30   0],80.35714285714286,3.0,5.0,5.0,10.0,
0,marker2,-36.61236129965555,7.501778325358435,[-36.6123613    7.50177833],81.25,3.0,5.0,5.0,10.0,<__main__.Real_marker object at 0x7fab09669490>
0,marker3,-46.10694752564765,4.362856154102664,[-46.10694753   4.36285615],49.107142857142854,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faad878ceb0>
0,marker4,-52.33230364330424,12.188770874335411,[-52.33230364  12.18877087],21.428571428571427,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0975e0a0>
0,marker5,-51.850660751788496,22.17716514594145,[-51.85066075  22.17716515],21.428571428571427,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faad8ea4c10>
0,marker6,-45.79016022293625,14.222900042251378,[-45.79016022  14.22290004],47.32142857142857,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faad9043bb0>
0,marker7,-38.27082327447018,7.630512625280729,[-38.27082327   7.63051263],91.96428571428571,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faad905e400>
0,marker8,-48.189138526556455,6.3549646801870265,[-48.18913853   6.35496468],43.75,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faad9043be0>
0,marker9,-38.677766599501595,3.2672788047727597,[-38.6777666   3.2672788],85.26785714285714,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faaf89d2a60>
0,marker10,-48.64982246934724,4.014340869581919,[-48.64982247   4.01434087],38.839285714285715,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faaf89d27f0>
0,marker11,-56.71442513089269,-1.8985420069338979,[-56.71442513  -1.89854201],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7faaf89d2310>
0,marker12,-60.71243660250972,7.267476991127294,[-60.7124366    7.26747699],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0a3b93d0>
0,marker13,-67.32114006606001,14.772477892583499,[-67.32114007  14.77247789],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0a3b9700>
0,marker14,-69.77223244008643,5.077523216361977,[-69.77223244   5.07752322],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0a77a3a0>
0,marker15,-78.67110984573847,0.5157274165507335,[-78.67110985   0.51572742],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0aa17370>
0,marker16,-88.66587066099343,0.8393881121009069,[-88.66587066   0.83938811],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0a3d54c0>
0,marker17,-98.04297603395467,4.313563528567608,[-98.04297603   4.31356353],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0a3b9910>
0,marker18,-99.0739504366923,-5.6331490831901,[-99.07395044  -5.63314908],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0aa332b0>
0,marker19,-97.74418978498879,-15.54434157497337,[-97.74418978 -15.54434157],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0aa4d160>
0,marker20,-87.81147307646084,-14.386266107601044,[-87.81147308 -14.38626611],0.0,3.0,5.0,5.0,10.0,<__main__.Virtual_marker object at 0x7fab0aa4dbe0>
